,Month,y
0,2011-01,23341906
1,2011-02,22508980
2,2011-03,17134321
3,2011-04,11609845
4,2011-05,15947600
5,2011-06,18219297
6,2011-07,24541554
7,2011-08,33727687
8,2011-09,31340936
9,2011-10,17023319
10,2011-11,13182329
11,2011-12,12351326
12,2012-01,19109004
13,2012-02,17799733
14,2012-03,9312287
15,2012-04,9576564
16,2012-05,10169472
17,2012-06,11621983
18,2012-07,18938648
19,2012-08,26231506
20,2012-09,23296960
21,2012-10,16821848
22,2012-11,10283616
23,2012-12,9353997
24,2013-01,16816354
25,2013-02,14023057
26,2013-03,11027001
27,2013-04,7759576
28,2013-05,8326050
29,2013-06,10332925
30,2013-07,19192643
31,2013-08,26461278
32,2013-09,25899971
33,2013-10,15741414
34,2013-11,11250755
35,2013-12,9428794
36,2014-01,16064855
37,2014-02,13712971
38,2014-03,11314738
39,2014-04,8285976
40,2014-05,8216981
41,2014-06,11434919
42,2014-07,19500634
43,2014-08,25203378
44,2014-09,25772015
45,2014-10,13739747
46,2014-11,9795010
47,2014-12,9447729
48,2015-01,15560666
49,2015-02,12813977
50,2015-03,11400863
51,2015-04,5533773
52,2015-05,6562022
53,2015-06,10149571
54,2015-07,17114242
55,2015-08,21631812
56,2015-09,19036078
57,2015-10,11382358
58,2015-11,7944845
59,2015-12,8347094
60,2016-01,12164049
61,2016-02,11939064
62,2016-03,8979699
63,2016-04,5472699
64,2016-05,6713855
65,2016-06,9212496
66,2016-07,14350879
67,2016-08,20610374
68,2016-09,17722889
69,2016-10,12760664
70,2016-11,8932006
71,2016-12,9042080
72,2017-01,11423643
73,2017-02,9661489
74,2017-03,9889551
75,2017-04,5506280
76,2017-05,7605434
77,2017-06,9333547
78,2017-07,13976990
79,2017-08,20879961
80,2017-09,18301867
81,2017-10,11712805
82,2017-11,9348232
83,2017-12,7410992
84,2018-01,12723500
85,2018-02,10196756
86,2018-03,8301355
87,2018-04,5727835
88,2018-05,6201918
89,2018-06,8786503
90,2018-07,15287114
91,2018-08,20656614
92,2018-09,16063562
93,2018-10,13949904
94,2018-11,8599111
95,2018-12,6729604
96,2019-01,11585278
97,2019-02,9384741
98,2019-03,7816264
99,2019-04,5357738
100,2019-05,5966350
101,2019-06,7489838
102,2019-07,14213911
103,2019-08,19415353
104,2019-09,14866359
105,2019-10,11442528
106,2019-11,6780221
107,2019-12,6779529
